0,1,2,3,4
1901 National League Pitcher Review←1900| 1901 Pitching Statistics League Leaders |1902→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Noodles Hahn,Cincinnati,41,Top 25
ERA,Jesse Tannehill,Pittsburgh,2.18,Top 25
Games,Bill Donovan,Brooklyn,45,Top 25
Jack Powell,St.Louis,,,
Dummy Taylor,New York,,,
Saves,Bill Donovan,Brooklyn,3,Top 25
Jack Powell,St. Louis,,,
Shutouts,Jack Chesbro,Pittsburgh,6,Top 25
Al Orth,Philadelphia,,,
Vic Willis,Boston,,,
Strikeouts,Noodles Hahn,Cincinnati,239,Top 25
Winning Percentage,Jack Chesbro,Pittsburgh,.677,Top 25
Wins,Bill Donovan,Brooklyn,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
1901 N.L. History |1901 A.L. History|Year-by-Year History,,,,
