0,1,2,3,4
1949 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Boston,25,Top 25
ERA,Dave Koslo,New York,2.50,Top 25
Games,Ted Wilks,St. Louis,59,Top 25
Saves,Ted Wilks,St. Louis,9,Top 25
Shutouts,Ken Heintzelman,Philadelphia,5,Top 25
Don Newcombe,Brooklyn,,,
Howie Pollet,St. Louis,,,
Ken Raffensberger,Cincinnati,,,
Strikeouts,Warren Spahn,Boston,151,Top 25
Winning Percentage,Preacher Roe,Brooklyn,.714,Top 25
Wins,Warren Spahn,Boston,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
