0,1,2,3,4
1996 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Curt Schilling,Philadelphia,8,Top 25
ERA,Kevin Brown,Florida,1.89,Top 25
Games,Brad Clontz,Atlanta,81,Top 25
Saves,Jeff Brantley,Cincinnati,44,Top 25
Todd Worrell,Los Angeles,,,
Shutouts,Kevin Brown,Florida,3,Top 25
Strikeouts,John Smoltz,Atlanta,276,Top 25
Winning Percentage,John Smoltz,Atlanta,.750,Top 25
Wins,John Smoltz,Atlanta,24,Top 25
Statistic,Name,Team,#,Top 25
