0,1,2
1934 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,St. Louis,78
ERA,New York,3.19
Fewest Hits Allowed,New York,"1,384"
Fewest Home Runs Allowed,Cincinnati,61
Fewest Walks Allowed,New York,351
Saves,New York,30
Shutouts,St. Louis,15
Strikeouts,St. Louis,689
Seasonal Events:All-Star Game|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. LeaderboardRetirements|Rookies List,,
