0,1,2
2004 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,San Francisco,705
Batting Average,St. Louis,.278
Doubles,Colorado,331
Hits,St. Louis,"1,544"
Home Runs,Chicago,235
On Base Percentage,San Francisco,.357
Runs,San Francisco,855
Slugging Average,St. Louis,.460
Stolen Bases,Milwaukee,138
Triples,Pittsburgh,39
