0,1,2,3,4
1935 National League Pitcher Review←1934| 1935 Pitching Statistics League Leaders |1936→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Dizzy Dean,St. Louis,29,Top 25
ERA,Cy Blanton,Pittsburgh,2.58,Top 25
Games,Orville Jorgens,Philadelphia,53,Top 25
Saves,Dutch Leonard,Pittsburgh,8,Top 25
Shutouts,Cy Blanton,Pittsburgh,4,Top 25
Freddie Fitzsimmons,New York,,,
Larry French,Chicago,,,
Van Mungo,Brooklyn,,,
Jim Weaver,Pittsburgh,,,
Strikeouts,Dizzy Dean,St. Louis,190,Top 25
Winning Percentage,Bill Lee,Chicago,.769,Top 25
Wins,Dizzy Dean,St. Louis,28,Top 25
Statistic,Name(s),Team(s),#,Top 25
1935 N.L. History |1935 A.L. History|Year-by-Year History,,,,
