0,1,2,3,4
1917 National League Pitcher Review←1916| 1917 Pitching Statistics League Leaders |1918→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Grover Alexander,Philadelphia,34,Top 25
ERA,Fred Anderson,New York,1.44,Top 25
Games,Phil Douglas,Chicago,51,Top 25
Saves,Slim Sallee,New York,4,Top 25
Shutouts,Grover Alexander,Philadelphia,8,Top 25
Strikeouts,Grover Alexander,Philadelphia,200,Top 25
Winning Percentage,Ferdie Schupp,New York,.750,Top 25
Wins,Grover Alexander,Philadelphia,30,Top 25
Statistic,Name(s),Team(s),#,Top 25
1917 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
