0,1,2,3,4
1994 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Greg Maddux,Atlanta,10,Top 25
ERA,Greg Maddux,Atlanta,1.56,Top 25
Games,Steve Reed,Colorado,61,Top 25
Saves,John Franco,New York,30,Top 25
Shutouts,Greg Maddux,Atlanta,3,Top 25
Ramon Martinez,Los Angeles,,,
Strikeouts,Andy Benes,San Diego,189,Top 25
Winning Percentage,Bret Saberhagen,New York,.778,Top 25
Wins,Ken Hill,Montreal,16,Top 25
Greg Maddux,Atlanta,,,
Statistic,Name,Team,#,Top 25
