0,1,2,3,4,5,6
1989 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Chicago Cubs,93,69,.574,0,"$12,167,000",
New York Mets,87,75,.537,6,"$21,300,878",
St. Louis Cardinals,86,76,.531,7,"$16,077,333",
Montreal Expos,81,81,.500,12,"$15,141,222",
Pittsburgh Pirates,74,88,.457,19,"$12,463,000",
Philadelphia Phillies,67,95,.414,26,"$8,633,000",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
San Francisco Giants,92,70,.568,0,"$17,255,083",
San Diego Padres,89,73,.549,3,"$14,004,000",
Houston Astros,86,76,.531,6,"$16,761,625",
Los Angeles Dodgers,77,83,.481,14,"$21,147,506",
Cincinnati Reds,75,87,.463,17,"$12,257,000",
Atlanta Braves,63,97,.394,28,"$9,065,334",
National League Team Standings,,,,,,
