0,1,2,3,4
1887 American Association Player Review←1886| 1887 Pitching Statistics League Leaders |1888→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Matt Kilroy,Baltimore,66,Top 25
ERA,Elmer Smith,Cincinnati,2.94,Top 25
Games,Matt Kilroy,Baltimore,69,Top 25
Saves,Adonis Terry,Brooklyn,3,Top 25
Shutouts,Matt Kilroy,Baltimore,6,Top 25
Tony Mullane,Cincinnati,,,
Strikeouts,Toad Ramsey,Louisville,355,Top 25
Winning Percentage,Bob Caruthers,St. Louis,.763,Top 25
Wins,Matt Kilroy,Baltimore,46,Top 25
Statistic,Name(s),Team(s),#,Top 25
1887 A.A. History |Year-by-Year History,,,,
