0,1,2,3,4
1948 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Johnny Sain,Boston,28,Top 25
ERA,Harry Brecheen,St. Louis,2.24,Top 25
Games,Harry Gumbert,Cincinnati,61,Top 25
Saves,Harry Gumbert,Cincinnati,17,Top 25
Shutouts,Harry Brecheen,St. Louis,7,Top 25
Strikeouts,Harry Brecheen,St. Louis,149,Top 25
Winning Percentage,Harry Brecheen,St. Louis,.741,Top 25
Wins,Johnny Sain,Boston,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
