0,1,2,3,4,5,6
1992 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Pittsburgh Pirates,96,66,.593,0,"$32,444,320",
Montreal Expos,87,75,.537,9,"$15,572,670",
St. Louis Cardinals,83,79,.512,13,"$24,680,501",
Chicago Cubs,78,84,.481,18,"$31,798,680",
New York Mets,72,90,.444,24,"$44,760,340",
Philadelphia Phillies,70,92,.432,26,"$23,926,330",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,98,64,.605,0,"$32,907,170",
Cincinnati Reds,90,72,.556,8,"$36,471,500",
San Diego Padres,82,80,.506,16,"$25,781,500",
Houston Astros,81,81,.500,17,"$14,671,500",
San Francisco Giants,72,90,.444,26,"$31,712,170",
Los Angeles Dodgers,63,99,.389,35,"$39,440,170",
National League Team Standings,,,,,,
