0,1,2,3,4
1945 National League Pitcher Review←1944| 1945 Pitching Statistics League Leaders |1946→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Red Barrett,Boston,24,Top 25
St. Louis,,,,
ERA,Hank Borowy,Chicago,2.13,Top 25
Games,Andy Karl,Philadelphia,67,Top 25
Saves,Ace Adams,New York,15,Top 25
Andy Karl,Philadelphia,,,
Shutouts,Claude Passeau,Chicago,5,Top 25
Strikeouts,Preacher Roe,Pittsburgh,148,Top 25
Winning Percentage,Harry Brecheen,St. Louis,.789,Top 25
Wins,Red Barrett,Boston,23,Top 25
St. Louis,,,,
Statistic,Name(s),Team(s),#,Top 25
1945 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
