0,1,2,3,4
1952 National League Pitcher Review←1952| 1952 National League Pitching Statistics Leaders |1953→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Robin Roberts,Philadelphia,30,Top 25
ERA,Hoyt Wilhelm,New York,2.43,Top 25
Games,Hoyt Wilhelm,New York,71,Top 25
Saves,Al Brazle,St. Louis,16,Top 25
Shutouts,Ken Raffensberger,Cincinnati,6,Top 25
Curt Simmons,Philadelphia,,,
Strikeouts,Warren Spahn,Boston,183,Top 25
Winning Percentage,Hoyt Wilhelm,New York,.833,Top 25
Wins,Robin Roberts,Philadelphia,28,Top 25
Statistic,Name(s),Team(s),#,Top 25
1952 N.L. History |1952 A.L. History|Year-by-Year History,,,,
