0,1,2,3,4
1889 American Association Pitcher Review←1888| 1889 Pitching Statistics League Leaders |1890→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Matt Kilroy,Baltimore,55,Top 25
ERA,Jack Stivetts,St. Louis,2.25,Top 25
Games,Mark Baldwin,Columbus,63,Top 25
Saves,Tony Mullane,Cincinnati,5,Top 25
Shutouts,Bob Caruthers,Brooklyn,7,Top 25
Strikeouts,Mark Baldwin,Columbus,368,Top 25
Winning Percentage,Bob Caruthers,Brooklyn,.784,Top 25
Wins,Bob Caruthers,Brooklyn,40,Top 25
Statistic,Name(s),Team(s),#,Top 25
1889 A.A. History |1889 N.L. History|Year-by-Year History,,,,
