0,1,2,3,4
1914 Federal League Pitcher Review1914 Pitching Statistics League Leaders |1915→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Claude Hendrix,Chicago,34,Top 25
ERA,Claude Hendrix,Chicago,1.69,Top 25
Games,Cy Falkenberg,Indianapolis,49,Top 25
Claude Hendrix,Chicago,,,
Saves,Russ Ford,Buffalo,6,Top 25
Shutouts,Cy Falkenberg,Indianapolis,9,Top 25
Strikeouts,Cy Falkenberg,Indianapolis,236,Top 25
Winning Percentage,Russ Ford,Buffalo,.778,Top 25
Wins,Claude Hendrix,Chicago,29,Top 25
Statistic,Name(s),Team(s),#,Top 25
F.L. Retirements|F.L. Rookies|Year-by-Year,,,,
