0,1,2,3,4
1884 American Association Pitcher Review←1883| 1884 Pitching Statistics League Leaders |1885→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Guy Hecker,Louisville,72,Top 25
ERA,Guy Hecker,Louisville,1.80,Top 25
Games,Guy Hecker,Louisville,75,Top 25
Saves,Oyster Burns,Baltimore,1,n/a
Frank Mountain,Columbus,,,
Hank O'Day,Toledo,,,
Shutouts,Tony Mullane,Toledo,7,Top 25
Will White,Cincinnati,,,
Strikeouts,Guy Hecker,Louisville,385,Top 25
Winning Percentage,Tip O'Neill,St. Louis,.733,Top 25
Wins,Guy Hecker,Louisville,52,Top 25
Statistic,Name(s),Team(s),#,Top 25
1884 A.A. History |1884 N.L. History|Year-by-Year History,,,,
