0,1,2,3,4
1905 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Irv Young,Boston,41,Top 25
ERA,Christy Mathewson,New York,1.28,Top 25
Games,Joe McGinnity,New York,46,Top 25
Togie Pittinger,Philadelphia,,,
Saves,Claud Elliott,New York,6,Top 25
Shutouts,Christy Mathewson,New York,8,Top 25
Strikeouts,Christy Mathewson,New York,206,Top 25
Winning Percentage,Sam Leever,Pittsburgh,.800,Top 25
Wins,Christy Mathewson,New York,31,Top 25
Statistic,Name(s),Team(s),#,Top 25
