0,1,2,3,4,5
1897 National LeagueTeam Standings,,,,,
Team | Roster,W,L,T,WP,GB
Boston Beaneaters,93,39,3,.705,0
Baltimore Orioles,90,40,6,.692,2
New York Giants,83,48,7,.634,9½
Cincinnati Reds,76,56,2,.576,17
Cleveland Spiders,69,62,1,.527,23½
Washington Senators,61,71,4,.462,32
Brooklyn Bridegrooms,61,71,3,.462,32
Pittsburgh Pirates,60,71,4,.458,32½
Chicago Colts,59,73,6,.447,34
Philadelphia Phillies,55,77,2,.417,38
Louisville Colonels,52,78,6,.400,40
St. Louis Browns,29,102,2,.221,63½
Team | Roster,W,L,T,WP,GB
1897 National League Team Standings,,,,,
