0,1,2
1969 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,San Francisco,711
Batting Average,Pittsburgh,.277
Doubles,St. Louis,228
Hits,Cincinnati,"1,558"
Home Runs,Cincinnati,171
On Base Percentage,Cincinnati,.338
Runs,Cincinnati,798
Slugging Average,Cincinnati,.422
Stolen Bases,Houston,101
Triples,Los Angeles,52
Pittsburgh,,
