0,1,2
1876 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Chicago,70
Batting Average,Chicago,.337
Doubles,Chicago,131
Hits,Chicago,926
Home Runs,Boston,9
On Base Percentage,Chicago,.353
Runs,Chicago,624
Slugging Average,Chicago,.417
Triples,Philadelphia,35
Statistic,Team,#
