0,1,2,3,4
1959 National League Pitcher Review←1958| 1959 Pitching Statistics League Leaders |1960→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Milwaukee,21,Top 25
ERA,Sam Jones,San Francisco,2.83,Top 25
Games,Don Elston,Chicago,65,Top 25
Bill Henry,Chicago,,,
Saves,Lindy McDaniel,St. Louis,15,Top 25
Don McMahon,Milwaukee,,,
Shutouts,Johnny Antonelli,San Francisco,4,Top 25
Bob Buhl,Milwaukee,,,
Lew Burdette,Milwaukee,,,
Roger Craig,Los Angeles,,,
Don Drysdale,Los Angeles,,,
Sam Jones,San Francisco,,,
Warren Spahn,Milwaukee,,,
Strikeouts,Don Drysdale,Los Angeles,242,Top 25
Winning Percentage,Roy Face,Pittsburgh,.947,Top 25
Wins,Lew Burdette,Milwaukee,21,Top 25
Sam Jones,San Francisco,,,
Warren Spahn,Milwaukee,,,
Statistic,Name(s),Team(s),#,Top 25
1959 N.L. History |1959 A.L. History|Year-by-Year History,,,,
