0,1,2,3,4
1982 National League Pitcher Review←1981| 1982 Pitching Statistics League Leaders |1983→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Steve Carlton,Philadelphia,19,Top 25
ERA,Steve Rogers,Montreal,2.40,Top 25
Games,Kent Tekulve,Pittsburgh,85,Top 25
Saves,Bruce Sutter,St. Louis,36,Top 25
Shutouts,Steve Carlton,Philadelphia,6,Top 25
Strikeouts,Steve Carlton,Philadelphia,286,Top 25
Winning Percentage,Phil Niekro,Atlanta,.810,Top 25
Wins,Steve Carlton,Philadelphia,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1982 N.L. History |1982 A.L. History|Year-by-Year History,,,,
