0,1,2,3,4
1898 National LeagueTeam Standings,,,,
Team | Roster,W,L,WP,GB
Boston Beaneaters,102,47,.685,0
Baltimore Orioles,96,53,.644,6
Cincinnati Reds,92,60,.605,11½
Chicago Orphans,85,65,.567,17½
Cleveland Spiders,81,68,.544,21
Philadelphia Phillies,78,71,.523,24
New York Giants,77,73,.513,25½
Pittsburgh Pirates,72,76,.486,29½
Louisville Colonels,70,81,.464,33
Brooklyn Bridegrooms,54,91,.372,52½
Washington Senators,51,101,.336,52½
St. Louis Browns,39,111,.260,63½
Team | Roster,W,L,WP,GB
1898 National League Team Standings,,,,
