0,1,2,3,4
1906 National League Pitcher Review←1905| 1906 Pitching Statistics League Leaders |1907→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Irv Young,Boston,37,Top 25
ERA,Mordecai Brown,Chicago,1.04,Top 25
Games,Joe McGinnity,New York,45,Top 25
Saves,George Ferguson,New York,7,Top 25
Shutouts,Mordecai Brown,Chicago,9,Top 25
Strikeouts,Fred Beebe,Chicago,171,Top 25
St. Louis,,,,
Winning Percentage,Ed Reulbach,Chicago,.826,Top 25
Wins,Joe McGinnity,New York,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1906 N.L. History |1906 A.L. History|Year-by-Year History,,,,
