0,1,2,3,4,5,6
1990 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Pittsburgh Pirates,95,67,.586,0,"$14,740,000",
New York Mets,91,71,.562,4,"$21,786,834",
Montreal Expos,85,77,.525,10,"$15,776,055",
Philadelphia Phillies,77,85,.475,18,"$14,013,500",
Chicago Cubs,77,85,.475,18,"$13,654,500",
St. Louis Cardinals,70,92,.432,25,"$19,225,834",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Cincinnati Reds,91,71,.562,0,"$14,870,166",
Los Angeles Dodgers,86,76,.531,5,"$20,449,377",
San Francisco Giants,85,77,.525,6,"$18,804,272",
San Diego Padres,75,87,.463,16,"$16,677,834",
Houston Astros,75,87,.463,16,"$17,123,000",
Atlanta Braves,65,97,.401,26,"$10,914,834",
National League Team Standings,,,,,,
