0,1,2
1992 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,New York,572
Batting Average,St. Louis,.262
Doubles,Cincinnati,281
Hits,St. Louis,"1,464"
Home Runs,Atlanta,138
On Base Percentage,Cincinnati,.331
Runs,Pittsburgh,693
Slugging Average,Atlanta,.388
Stolen Bases,St. Louis,208
Triples,Pittsburgh,54
