0,1,2,3,4
1958 National League Pitcher Review←1957| 1958 Pitching Statistics League Leaders |1959→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Milwaukee,23,Top 25
ERA,Stu Miller,San Francisco,2.47,Top 25
Games,Don Elston,Chicago,69,Top 25
Saves,Roy Face,Pittsburgh,20,Top 25
Shutouts,Carl Willey,Milwaukee,4,Top 25
Strikeouts,Sam Jones,St. Louis,225,Top 25
Winning Percentage,Lew Burdette,Milwaukee,.667,Top 25
Warren Spahn,Milwaukee,,,
Wins,Bob Friend,Pittsburgh,22,Top 25
Warren Spahn,Milwaukee,,,
Statistic,Name(s),Team(s),#,Top 25
1958 N.L. History |1958 A.L. History|Year-by-Year History,,,,
