0,1,2,3,4
1877 National League Pitcher Review←1876| 1877 Pitching Statistics League Leaders |1878→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jim Devlin,Louisville,61,Top 25
ERA,Tommy Bond,Boston,2.11,Top 25
Games,Jim Devlin,Louisville,61,Top 25
Saves,Cal McVey,Chicago,2,Top 25
Shutouts,Tommy Bond,Boston,6,Top 25
Strikeouts,Tommy Bond,Boston,170,Top 25
Winning Percentage,Tommy Bond,Boston,.702,Top 25
Wins,Tommy Bond,Boston,40,Top 25
Statistic,Name(s),Team(s),#,Top 25
1877 N.L. History |Year-by-Year History,,,,
