0,1,2,3,4
1928 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Larry Benton,New York,28,Top 25
Burleigh Grimes,Pittsburgh,,,
ERA,Dazzy Vance,Brooklyn,2.09,Top 25
Games,Burleigh Grimes,Pittsburgh,48,Top 25
Saves,Hal Haid,St. Louis,5,Top 25
Bill Sherdel,St. Louis,,,
Shutouts,Sheriff Blake,Chicago,4,Top 25
Burleigh Grimes,Pittsburgh,,,
Red Lucas,Cincinnati,,,
Doug McWeeny,Brooklyn,,,
Dazzy Vance,Brooklyn,,,
Strikeouts,Dazzy Vance,Brooklyn,200,Top 25
Winning Percentage,Larry Benton,New York,.735,Top 25
Wins,Larry Benton,New York,25,Top 25
Burleigh Grimes,Pittsburgh,,,
Statistic,Name(s),Team(s),#,Top 25
