0,1,2,3,4
1971 National League Pitcher Review←1970| 1971 Pitching Statistics League Leaders |1972→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Fergie Jenkins,Chicago,30,Top 25
ERA,Tom Seaver,New York,1.76,Top 25
Games,Wayne Granger,Cincinnati,70,Top 25
Saves,Dave Giusti,Pittsburgh,30,Top 25
Shutouts,Steve Blass,Pittsburgh,5,Top 25
Al Downing,Los Angeles,,,
Bob Gibson,St. Louis,,,
Milt Pappas,Chicago,,,
Strikeouts,Tom Seaver,New York,289,Top 25
Winning Percentage,Don Gullett,Cincinnati,.727,Top 25
Wins,Fergie Jenkins,Chicago,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
1971 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
