0,1,2,3,4,5
1980 National League Team Standings1980 All-Star Game| 1980 Team Standings |1980 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Philadelphia Phillies,91,71,.562,0,
Montreal Expos,90,72,.556,1,
Pittsburgh Pirates,83,79,.512,8,
St. Louis Cardinals,74,88,.457,17,
New York Mets,67,95,.414,24,
Chicago Cubs,64,98,.395,27,
West,Team [Click for roster],Wins,Losses,WP,GB
Houston Astros,93,70,.571,0,
Los Angeles Dodgers,92,71,.564,1,
Cincinnati Reds,89,73,.549,3½,
Atlanta Braves,81,80,.503,11,
San Francisco Giants,75,86,.466,17,
San Diego Padres,73,89,.451,19½,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
