0,1,2
1897 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Baltimore,437
Batting Average,Baltimore,.325
Doubles,Baltimore,243
Hits,Baltimore,"1,584"
Home Runs,Boston,45
On Base Percentage,Baltimore,.394
Runs,Boston,"1,025"
Slugging Average,Boston,.426
Stolen Bases,Baltimore,401
Triples,Pittsburgh,108
Statistic,Team,#
