0,1,2,3,4
1904 National League Pitcher Review←1903| 1904 Pitching Statistics League Leaders |1905→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jack Taylor,St. Louis,39,Top 25
Vic Willis,Boston,,,
ERA,Joe McGinnity,New York,1.61,Top 25
Games,Joe McGinnity,New York,51,Top 25
Saves,Joe McGinnity,New York,5,Top 25
Shutouts,Joe McGinnity,New York,9,Top 25
Strikeouts,Christy Mathewson,New York,212,Top 25
Winning Percentage,Joe McGinnity,New York,.814,Top 25
Wins,Joe McGinnity,New York,35,Top 25
Statistic,Name(s),Team(s),#,Top 25
1904 N.L. History |1904 A.L. History|Year-by-Year History,,,,
