0,1,2,3,4
1920 National League Pitcher Review←1919| 1920 Pitching Statistics League Leaders |1921→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Grover Alexander,Chicago,33,Top 25
ERA,Grover Alexander,Chicago,1.91,Top 25
Games,Jesse Haines,St. Louis,47,Top 25
Saves,Bill Sherdel,St. Louis,6,Top 25
Shutouts,Babe Adams,Pittsburgh,8,Top 25
Strikeouts,Grover Alexander,Chicago,173,Top 25
Winning Percentage,Burleigh Grimes,Brooklyn,.676,Top 25
Wins,Grover Alexander,Chicago,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1920 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
