0,1,2,3,4
1973 National League Pitcher Review←1972| 1973 Pitching Statistics League Leaders |1974→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Steve Carlton,Philadelphia,18,Top 25
Tom Seaver,New York,,,
ERA,Tom Seaver,New York,2.08,Top 25
Games,Mike Marshall,Los Angeles,92,Top 25
Saves,Mike Marshall,Los Angeles,31,Top 25
Shutouts,Jack Billingham,Cincinnati,7,Top 25
Strikeouts,Tom Seaver,New York,251,Top 25
Winning Percentage,Tommy John,Los Angeles,.696,Top 25
Wins,Ron Bryant,San Francisco,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
1973 N.L. History |1973 A.L. History|Year-by-Year History,,,,
