0,1,2
1982 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,San Francisco,607
Batting Average,Pittsburgh,.273
Doubles,Pittsburgh,272
Hits,Pittsburgh,"1,535"
Home Runs,Atlanta,146
On Base Percentage,St. Louis,.337
Runs,Atlanta,739
Slugging Average,Pittsburgh,.408
Stolen Bases,St. Louis,200
Triples,St. Louis,52
San Diego,,
Statistic,Team,#
1982 Team Hitting Statistics,,
