0,1,2,3,4
1882 American Association Pitcher Review1882 Pitching Statistics League Leaders |1883→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Will White,Cincinnati,52,Top 25
ERA,Denny Driscoll,Pittsburgh,1.21,Top 25
Games,Tony Mullane,Louisville,55,Top 25
Saves,Eddie Fusselback,St. Louis,1,n/a
Shutouts,Will White,Cincinnati,8,Top 25
Strikeouts,Tony Mullane,Louisville,170,Top 25
Winning Percentage,Will White,Cincinnati,.769,Top 25
Wins,Will White,Cincinnati,40,Top 25
Statistic,Name(s),Team(s),#,Top 25
1882 A.L. History |1882 N.L. History|Year-by-Year History,,,,
