0,1,2,3,4,5,6
1988 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
New York Mets,100,60,.625,0,"$15,452,714",
Pittsburgh Pirates,85,75,.531,15,"$8,647,500",
Montreal Expos,81,81,.500,20,"$9,452,333",
Chicago Cubs,77,86,.475,24,"$12,849,333",
St. Louis Cardinals,76,86,.469,25,"$14,027,500",
Philadelphia Phillies,65,96,.404,35½,"$13,248,000",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Los Angeles Dodgers,94,67,.584,0,"$16,412,515",
Cincinnati Reds,87,74,.540,7,"$9,998,833",
San Diego Padres,83,78,.516,11,"$10,978,168",
San Francisco Giants,83,79,.512,11½,"$12,332,000",
Houston Astros,82,80,.506,12½,"$13,565,576",
Atlanta Braves,54,106,.338,39½,"$12,634,667",
National League Team Standings,,,,,,
