0,1,2,3,4
1927 National League Pitcher Review←1926| 1927 Pitching Statistics League Leaders |1928→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jesse Haines,St. Louis,25,Top 25
Lee Meadows,Pittsburgh,,,
Dazzy Vance,Brooklyn,,,
ERA,Ray Kremer,Pittsburgh,2.47,Top 25
Games,Charlie Root,Chicago,48,Top 25
Jack Scott,Philadelphia,,,
Saves,Bill Sherdel,St. Louis,6,Top 25
Shutouts,Jesse Haines,St. Louis,6,Top 25
Strikeouts,Dazzy Vance,Brooklyn,184,Top 25
Winning Percentage,Larry Benton,Boston,.708,Top 25
New York,,,,
Wins,Charlie Root,Chicago,26,Top 25
Statistic,Name(s),Team(s),#,Top 25
1927 N.L. History |1927 A.L. History|Year-by-Year History,,,,
