0,1,2,3,4
1969 National League Pitcher Review←1968| 1969 Pitching Statistics League Leaders |1970→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bob Gibson,St. Louis,28,Top 25
ERA,Juan Marichal,San Francisco,2.10,Top 25
Games,Wayne Granger,Cincinnati,90,Top 25
Saves,Fred Gladding,Houston,29,Top 25
Shutouts,Juan Marichal,San Francisco,8,Top 25
Strikeouts,Fergie Jenkins,Chicago,273,Top 25
Winning Percentage,Tom Seaver,New York,.781,Top 25
Wins,Tom Seaver,New York,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
1969 N.L. History |1969 A.L. History|Year-by-Year History,,,,
