0,1,2
1972 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Cincinnati,606
Batting Average,Pittsburgh,.274
Doubles,Pittsburgh,251
Hits,Pittsburgh,"1,505"
Home Runs,San Francisco,150
On Base Percentage,Cincinnati,.333
Runs,Houston,708
Slugging Average,Pittsburgh,.397
Stolen Bases,Cincinnati,140
Triples,Pittsburgh,47
