0,1,2,3,4
1941 National League Pitcher Review←1940| 1941 Hitting Statistics League Leaders |1942→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bucky Walters,Cincinnati,27,Top 25
ERA,Elmer Riddle,Cincinnati,2.24,Top 25
Games,Kirby Higbe,Brooklyn,48,Top 25
Saves,Jumbo Brown,New York,8,Top 25
Shutouts,Whit Wyatt,Brooklyn,7,Top 25
Strikeouts,Johnny Vander Meer,Cincinnati,202,Top 25
Winning Percentage,Elmer Riddle,Cincinnati,.826,Top 25
Wins,Kirby Higbe,Brooklyn,22,Top 25
Whit Wyatt,Brooklyn,,,
Statistic,Name(s),Team(s),#,Top 25
1941 N.L. History |1941 A.L. History|Year-by-Year History,,,,
