0,1,2,3,4
1936 National League Pitcher Review←1935| 1936 Pitching Statistics League Leaders |1937→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Dizzy Dean,St. Louis,28,Top 25
ERA,Carl Hubbell,New York,2.31,Top 25
Games,Dizzy Dean,St. Louis,51,Top 25
Paul Derringer,Cincinnati,,,
Saves,Dizzy Dean,St. Louis,11,Top 25
Shutouts,Cy Blanton,Pittsburgh,4,Top 25
Tex Carleton,Chicago,,,
Larry French,Chicago,,,
Bill Lee,Chicago,,,
Al Smith,New York,,,
Bucky Walters,Philadelphia,,,
Lon Warneke,Chicago,,,
Strikeouts,Van Mungo,Brooklyn,238,Top 25
Winning Percentage,Carl Hubbell,New York,.813,Top 25
Wins,Carl Hubbell,New York,26,Top 25
Statistic,Name(s),Team(s),#,Top 25
1936 N.L. History |1936 A.L. History|Year-by-Year History,,,,
