0,1,2
2000 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Arizona,16
ERA,Atlanta,4.06
Fewest Hits Allowed,Los Angeles,"1,379"
Fewest Home Runs Allowed,San Francisco,151
Fewest Walks Allowed,Atlanta,484
Saves,Atlanta,53
Shutouts,San Francisco,15
Strikeouts,Arizona,"1,220"
"Seasonal Events:All-Star Game|All-Star Game|All-Star Game|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. LeaderboardRetirements|Rookies ListAverage Salary: $1,998,034.00Minimum Salary: $200,000.00",,
