0,1,2,3,4
1975 National League Pitcher Review←1974| 1975 Pitching Statistics League Leaders |1976→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Andy Messersmith,Los Angeles,19,Top 25
ERA,Randy Jones,San Diego,2.24,Top 25
Games,Gene Garber,Philadelphia,71,Top 25
Saves,Rawly Eastwick,Cincinnati,22,Top 25
Al Hrabosky,St. Louis,,,
Shutouts,Andy Messersmith,Los Angeles,7,Top 25
Strikeouts,Tom Seaver,New York,243,Top 25
Winning Percentage,Don Gullett,Cincinnati,.789,Top 25
Wins,Tom Seaver,New York,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
1975 N.L. History |1975 A.L. History|Year-by-Year History,,,,
