0,1,2,3,4,5
1970 National League Team Standings1970 All-Star Game| 1970 Team Standings |1970 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Pittsburgh Pirates,89,73,.549,0,
Chicago Cubs,84,78,.519,5,
New York Mets,83,79,.512,6,
St. Louis Cardinals,76,86,.469,13,
Philadelphia Phillies,73,88,.453,15½,
Montreal Expos,73,89,.451,16,
West,Team [Click for roster],Wins,Losses,WP,GB
Cincinnati Reds,102,60,.630,0,
Los Angeles Dodgers,87,74,.540,14½,
San Francisco Giants,86,76,.531,16,
Houston Astros,79,83,.488,23,
Atlanta Braves,76,86,.469,26,
San Diego Padres,63,99,.389,39,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
