0,1,2,3,4
1888 American Association Pitcher Review←1887| 1888 Pitching Statistics League Leaders |1889→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Silver King,St. Louis,64,Top 25
ERA,Silver King,St. Louis,1.64,Top 25
Games,Silver King,St. Louis,66,Top 25
Saves,Bob Gilks,Cleveland,1,n/a
Tony Mullane,Cincinnati,,,
Shutouts,Silver King,St. Louis,6,Top 25
Ed Seward,Philadelphia,,,
Strikeouts,Ed Seward,Philadelphia,272,Top 25
Winning Percentage,Nat Hudson,St. Louis,.714,Top 25
Wins,Silver King,St. Louis,45,Top 25
Statistic,Name(s),Team(s),#,Top 25
1888 A.A. History |Year-by-Year History,,,,
