0,1,2
1971 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,San Francisco,654
Batting Average,St. Louis,.275
Doubles,Houston,230
Hits,Pittsburgh,"1,555"
Home Runs,Pittsburgh,154
On Base Percentage,St. Louis,.342
Runs,Pittsburgh,788
Slugging Average,Pittsburgh,.416
Stolen Bases,St. Louis,124
Triples,Pittsburgh,61
Statistic,Team,#
