0,1,2
1931 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Pittsburgh,80
ERA,Brooklyn,4.03
Fewest Hits Allowed,Brooklyn,"1,480"
Fewest Home Runs Allowed,Cincinnati,75
Fewest Walks Allowed,Brooklyn,394
Cincinnati,394,
Saves,St. Louis,21
Shutouts,Brooklyn,13
Strikeouts,St. Louis,639
Seasonal Events: All-Star Game |World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. LeaderboardRetirements|Rookies List,,
