0,1,2,3,4
1891 American Association Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Sadie McMahon,Baltimore,53,Top 25
ERA,Ed Crane,Cincinnati,2.45,Top 25
Games,Jack Stivetts,St. Louis,64,Top 25
Saves,Bill Daley,Boston,2,Top 25
Darby O'Brien,Boston,,,
Shutouts,George Haddock,Boston,5,Top 25
Phil Knell,Columbus,,,
Sadie McMahon,Baltimore,,,
Strikeouts,Jack Stivetts,St. Louis,259,Top 25
Winning Percentage,Charlie Buffinton,Boston,.763,Top 25
Wins,Sadie McMahon,Baltimore,35,Top 25
Statistic,Name(s),Team(s),#,Top 25
