0,1,2,3,4
1898 National League Pitcher Review←1897| 1898 Pitching Statistics League Leaders |1899→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jack Taylor,St. Louis,42,Top 25
ERA,Clark Griffith,Chicago,1.88,Top 25
Games,Kid Nichols,Boston,50,Top 25
Jack Taylor,St. Louis,,,
Saves,Kid Nichols,Boston,4,Top 25
Shutouts,Wiley Piatt,Philadelphia,6,Top 25
Jack Powell,Cleveland,,,
Strikeouts,Cy Seymour,New York,239,Top 25
Winning Percentage,Ted Lewis,Boston,.765,Top 25
Wins,Kid Nichols,Boston,31,Top 25
Statistic,Name(s),Team(s),#,Top 25
1898 N.L. History |Year-by-Year History,,,,
