0,1,2,3,4
1885 American Association Pitcher Review←1884| 1885 Pitching Statistics League Leaders |1886→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Ed Morris,Pittsburgh,63,Top 25
ERA,Bob Caruthers,St. Louis,2.07,Top 25
Games,Ed Morris,Pittsburgh,63,Top 25
Saves,Oyster Burns,Baltimore,3,Top 25
Shutouts,Ed Morris,Pittsburgh,7,Top 25
Strikeouts,Ed Morris,Pittsburgh,298,Top 25
Winning Percentage,Bob Caruthers,St. Louis,.755,Top 25
Wins,Bob Caruthers,St. Louis,40,Top 25
Statistic,Name(s),Team(s),#,Top 25
1885 A.A. History |1885 N.L. History|Year-by-Year History,,,,
