0,1,2,3,4
1957 National League Pitcher Review←1956| 1957 Pitching Statistics League Leaders |1958→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Milwaukee,18,Top 25
ERA,Johnny Podres,Brooklyn,2.66,Top 25
Games,Turk Lown,Chicago,67,Top 25
Saves,Clem Labine,Brooklyn,17,Top 25
Shutouts,Johnny Podres,Brooklyn,6,Top 25
Strikeouts,Jack Sanford,Philadelphia,188,Top 25
Winning Percentage,Bob Buhl,Milwaukee,.720,Top 25
Wins,Warren Spahn,Milwaukee,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
1957 N.L. History |1957 A.L. History|Year-by-Year History,,,,
