0,1,2,3,4
1944 National League Pitcher Review←1943| 1944 Pitching Statistics League Leaders |1945→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Jim Tobin,Boston,28,Top 25
ERA,Ed Heusser,Cincinnati,2.38,Top 25
Games,Ace Adams,New York,65,Top 25
Saves,Ace Adams,New York,13,Top 25
Shutouts,Mort Cooper,St. Louis,7,Top 25
Strikeouts,Bill Voiselle,New York,161,Top 25
Winning Percentage,Ted Wilks,St. Louis,.810,Top 25
Wins,Bucky Walters,Cincinnati,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1944 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
