0,1,2,3,4
1922 National League Pitcher Review←1922| 1922 Pitching Statistics League Leaders |1923→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Wilbur Cooper,Pittsburgh,27,Top 25
ERA,Phil Douglas,New York,2.63,Top 25
Games,Lou North,St. Louis,53,Top 25
Saves,Claude Jonnard,New York,5,Top 25
Shutouts,Johnny Morrison,Pittsburgh,5,Top 25
Dazzy Vance,Brooklyn,,,
Strikeouts,Dazzy Vance,Brooklyn,134,Top 25
Winning Percentage,Pete Donohue,Cincinnati,.667,Top 25
Wins,Eppa Rixey,Cincinnati,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
1922 N.L. History |1922 A.L. History|Year-by-Year History,,,,
