0,1,2,3,4
1915 Federal League Pitcher Review←1914| 1915 Pitching Statistics League Leaders,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Dave Davenport,St.Louis,30,Top 25
ERA,Earl Moseley,Newark,1.91,Top 25
Games,Dave Davenport,St.Louis,55,Top 25
Saves,Hugh Bedient,Buffalo,10,Top 25
Shutouts,Dave Davenport,St.Louis,10,Top 25
Strikeouts,Dave Davenport,St.Louis,229,Top 25
Winning Percentage,GeorgeMcConnell,Chicago,.714,Top 25
Wins,GeorgeMcConnell,Chicago,25,Top 25
Statistic,Name(s),Team(s),#,Top 25
F.L. Retirements|F.L. Rookies|Year-by-Year,,,,
