0,1,2,3,4
1909 National League Pitcher Review←1908| 1909 Pitching Statistics League Leaders |1910→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Mordecai Brown,Chicago,32,Top 25
ERA,Christy Mathewson,New York,1.14,Top 25
Games,Mordecai Brown,Chicago,50,Top 25
Saves,Mordecai Brown,Chicago,7,Top 25
Shutouts,Orval Overall,Chicago,9,Top 25
Strikeouts,Orval Overall,Chicago,205,Top 25
Winning Percentage,Howie Camnitz,Pittsburgh,.806,Top 25
Christy Mathewson,New York,,,
Wins,Mordecai Brown,Chicago,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
1909 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
