0,1,2,3,4,5,6,7
2010 National LeagueTeam Standings,,,,,,,
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Philadelphia Phillies,97,65,0,.599,--,"$141,927,381",
Atlanta Braves,91,71,0,.562,6,"$84,423,667",
Florida Marlins,80,82,0,.494,17,"$55,641,500",
New York Mets,79,83,0,.488,18,"$132,701,445",
Washington Nationals,69,93,0,.426,28,"$61,425,000",
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Cincinnati Reds,91,71,0,.562,--,"$72,386,544",
St. Louis Cardinals,86,76,0,.531,5,"$93,540,753",
Milwaukee Brewers,77,85,0,.475,14,"$81,108,279",
Houston Astros,76,86,0,.469,15,"$92,355,500",
Chicago Cubs,75,87,0,.463,16,"$146,859,000",
Pittsburgh Pirates,57,105,0,.352,34,"$34,943,000",
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
San Francisco Giants,92,70,0,.568,--,"$97,828,833",
San Diego Padres,90,72,0,.556,2,"$37,799,300",
Colorado Rockies,83,79,0,.512,9,"$84,227,000",
Los Angeles Dodgers,80,82,0,.494,12,"$94,945,517",
Arizona Diamondbacks,65,97,0,.401,27,"$60,718,167",
2010 National League Final Standings,,,,,,,
"Seasonal Events:All-Star Game|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season| Next SeasonMiscellaneous:A.L. Leaderboard|Rookies ListAverage Salary: $3,297,828.37Minimum Salary: $400,000.00",,,,,,,
