0,1,2,3,4
1963 National League Pitcher Review←1962| 1963 Pitching Statistics League Leaders |1964→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Milwaukee,22,Top 25
ERA,Sandy Koufax,Los Angeles,1.88,Top 25
Games,Ron Perranoski,Los Angeles,69,Top 25
Saves,Lindy McDaniel,Chicago,22,Top 25
Shutouts,Sandy Koufax,Los Angeles,11,Top 25
Strikeouts,Sandy Koufax,Los Angeles,306,Top 25
Winning Percentage,Ron Perranoski,Los Angeles,.842,Top 25
Wins,Sandy Koufax,Los Angeles,25,Top 25
Juan Marichal,San Francisco,,,
Statistic,Name(s),Team(s),#,Top 25
1963 N.L. History |1963 A.L. History|Year-by-Year History,,,,
