0,1,2
1962 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,San Francisco Giants,62
ERA,Pittsburgh Pirates,3.38
Fewest Hits Allowed,Los Angeles Dodgers,"1,386"
Fewest Home Runs Allowed,Houston Colt .45s,113
Fewest Walks Allowed,Milwaukee Braves,407
Saves,Los Angeles Dodgers,46
Shutouts,St. Louis Cardinals,17
Strikeouts,Los Angeles Dodgers,"1,104"
Statistic,Team,#
1962 N.L. Team Pitching Leaders,,
