0,1,2,3,4,5,6
1995 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,90,54,.625,0,"$47,023,444",
New York Mets,69,75,.479,21,"$23,097,944",
Philadelphia Phillies,69,75,.479,21,"$30,333,350",
Florida Marlins,67,76,.469,22½,"$22,961,781",
Montreal Expos,66,78,.458,24,"$13,116,557",
Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Cincinnati Reds,85,59,.590,0,"$47,739,109",
Houston Astros,76,68,.528,9,"$33,614,668",
Chicago Cubs,73,71,.507,12,"$36,797,696",
St. Louis Cardinals,62,81,.434,22½,"$28,679,250",
Pittsburgh Pirates,58,86,.403,27,"$17,665,833",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Los Angeles Dodgers,78,66,.542,0,"$36,725,956",
Colorado Rockies,77,67,.535,1,"$38,039,871",
San Diego Padres,70,74,.486,8,"$25,008,834",
San Francisco Giants,67,77,.465,11,"$33,798,683",
National League Team Standings,,,,,,
