0,1,2,3,4,5
1969 National League Team Standings1969 All-Star Game| 1969 Team Standings |1969 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
New York Mets,100,62,.617,0,
Chicago Cubs,92,70,.568,8,
Pittsburgh Pirates,88,74,.543,12,
St. Louis Cardinals,87,75,.537,13,
Philadelphia Phillies,63,99,.389,37,
Montreal Expos,52,110,.321,48,
West,Team [Click for roster],Wins,Losses,WP,GB
Atlanta Braves,93,69,.574,0,
San Francisco Giants,90,72,.556,3,
Cincinnati Reds,89,73,.549,4,
Los Angeles Dodgers,85,77,.525,8,
Houston Astros,81,81,.500,12,
San Diego Padres,52,110,.321,41,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
