0,1,2,3,4,5
1975 National League Team Standings1975 All-Star Game| 1975 Team Standings |1975 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Pittsburgh Pirates,92,69,.571,0,
Philadelphia Phillies,86,76,.531,6½,
New York Mets,82,80,.506,10½,
St. Louis Cardinals,82,80,.506,10½,
Montreal Expos,75,87,.463,17½,
Chicago Cubs,75,87,.463,17½,
West,Team [Click for roster],Wins,Losses,WP,GB
Cincinnati Reds,108,54,.667,0,
Los Angeles Dodgers,88,74,.543,20,
San Francisco Giants,80,81,.497,27½,
San Diego Padres,71,91,.438,37,
Atlanta Braves,67,94,.416,40½,
Houston Astros,64,97,.398,43½,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
